Date,Price,Open,High,Low,Vol.,Chg. %,
"10/10/21","54,701.0","54,978.0","56,414.0","54,173.0","5.84K","-0.50%",
"10/9/21","54,978.0","53,925.0","55,443.7","53,711.0","2.44K","1.95%",
"10/8/21","53,925.0","53,793.0","56,000.0","53,649.0","5.48K","0.25%",
"10/7/21","53,793.0","55,331.0","55,339.0","53,444.0","4.95K","-2.78%",
"10/6/21","55,331.0","51,508.0","55,724.0","50,448.0","10.52K","7.42%",
"10/5/21","51,508.0","49,232.0","51,891.1","49,065.0","6.68K","4.58%",
"10/4/21","49,252.0","48,243.0","49,503.0","46,951.0","6.19K","2.09%",
"10/3/21","48,243.0","47,675.0","49,187.0","47,124.0","3.60K","1.19%",
"10/2/21","47,675.0","48,151.0","48,330.0","47,459.0","2.06K","-1.00%",
"10/1/21","48,157.0","43,830.0","48,454.0","43,311.0","8.32K","9.87%",
"9/30/21","43,830.0","41,551.0","44,107.0","41,432.0","5.11K","5.48%",
"9/29/21","41,551.0","41,064.0","42,591.0","40,811.0","4.39K","1.19%",
"9/28/21","41,064.0","42,191.0","42,777.0","40,928.0","6.16K","-2.67%",
"9/27/21","42,191.0","43,220.5","44,354.0","42,144.0","4.26K","-2.29%",
"9/26/21","43,180.0","42,711.0","43,931.0","40,830.0","5.47K","1.10%",
"9/25/21","42,711.0","42,854.0","42,977.0","41,731.0","2.96K","-0.39%",
"9/24/21","42,878.0","44,882.0","45,140.0","40,779.0","11.76K","-4.47%",
"9/23/21","44,882.0","43,582.6","44,986.0","43,121.0","5.29K","2.98%",
"9/22/21","43,582.6","40,632.5","43,998.0","40,607.0","8.43K","7.18%",
"9/21/21","40,664.0","43,002.0","43,622.3","39,678.0","14.96K","-5.44%",
"9/20/21","43,002.0","47,239.0","47,323.0","42,577.0","12.63K","-8.97%",
"9/19/21","47,239.0","48,309.0","48,370.0","46,837.0","2.28K","-2.21%",
"9/18/21","48,309.0","47,296.0","48,794.0","47,070.0","2.05K","2.15%",
"9/17/21","47,292.0","47,786.0","48,183.0","46,782.0","2.49K","-1.03%",
"9/16/21","47,786.0","48,136.0","48,518.0","47,080.0","3.61K","-0.73%",
"9/15/21","48,136.0","47,078.0","48,440.0","46,738.0","3.98K","2.25%",
"9/14/21","47,078.0","44,960.0","47,235.0","44,726.0","3.52K","4.71%",
"9/13/21","44,960.0","46,069.0","46,823.0","43,514.0","8.77K","-2.41%",
"9/12/21","46,069.0","45,169.0","46,391.0","44,780.1","3.39K","1.99%",
"9/11/21","45,169.0","44,852.0","45,990.0","44,750.0","2.54K","0.71%",
"9/10/21","44,852.0","46,389.0","47,036.0","44,265.1","5.18K","-3.31%",
"9/9/21","46,389.0","46,088.0","47,397.0","45,591.0","3.85K","0.65%",
"9/8/21","46,088.0","46,778.0","47,342.4","44,509.9","7.55K","-1.48%",
"9/7/21","46,778.0","52,676.0","52,888.0","43,347.0","16.70K","-11.20%",
"9/6/21","52,676.0","51,762.0","52,709.0","51,062.0","4.84K","1.77%",
"9/5/21","51,762.0","49,899.0","51,900.0","49,500.0","5.54K","3.73%",
"9/4/21","49,899.0","50,000.0","50,529.0","49,418.0","2.37K","-0.20%",
"9/3/21","50,000.0","49,291.0","51,032.0","48,362.0","7.33K","1.44%",
"9/2/21","49,291.0","48,844.0","50,365.0","48,633.0","4.95K","0.92%",
"9/1/21","48,844.0","47,157.0","49,102.0","46,600.0","5.71K","3.58%",
"8/31/21","47,157.0","47,008.0","48,241.0","46,725.0","4.30K","0.32%",
"8/30/21","47,008.0","48,800.0","48,915.7","46,904.0","4.12K","-3.67%",
"8/29/21","48,800.0","48,914.0","49,650.0","47,844.0","4.05K","-0.23%",
"8/28/21","48,914.0","49,076.1","49,310.0","48,400.0","2.30K","-0.33%",
"8/27/21","49,076.1","46,832.0","49,159.0","46,364.9","5.80K","4.79%",
"8/26/21","46,832.0","48,989.0","49,385.0","46,370.7","6.48K","-4.40%",
"8/25/21","48,989.0","47,714.0","49,244.0","47,158.0","4.12K","2.67%",
"8/24/21","47,714.0","49,539.0","49,857.0","47,604.0","4.77K","-3.68%",
"8/23/21","49,539.0","49,264.0","50,506.3","49,055.0","5.42K","0.56%",
"8/22/21","49,264.0","48,868.0","49,487.0","48,121.0","2.75K","0.81%",
"8/21/21","48,868.0","49,332.0","49,784.0","48,290.0","3.92K","-0.94%",
"8/20/21","49,332.0","46,765.0","49,362.0","46,660.0","6.04K","5.49%",
"8/19/21","46,765.0","44,744.0","47,060.0","43,992.0","5.97K","4.52%",
"8/18/21","44,744.0","44,698.0","46,007.8","44,290.0","5.82K","0.10%",
"8/17/21","44,698.0","45,940.0","47,157.0","44,467.0","6.93K","-2.70%",
"8/16/21","45,940.0","47,031.0","48,059.0","45,689.0","6.06K","-2.32%",
"8/15/21","47,031.0","47,084.0","47,355.0","45,556.0","3.83K","-0.11%",
"8/14/21","47,084.0","47,842.0","48,120.0","46,036.0","4.35K","-1.58%",
"8/13/21","47,842.0","44,423.0","47,866.0","44,276.0","7.39K","7.70%",
"8/12/21","44,423.0","45,546.0","46,185.0","43,789.0","5.64K","-2.47%",
"8/11/21","45,546.0","45,612.0","46,725.0","45,358.0","4.32K","-0.14%",
"8/10/21","45,612.0","46,291.0","46,674.0","44,644.0","6.37K","-1.47%",
